종목코드,기준일,지표,값
003680,2023-07-21,PSR,0.108
003690,2023-07-21,PBR,0.3439
003690,2023-07-21,PCR,1.5826
003690,2023-07-21,PER,4.0077
003720,2023-07-21,PBR,3.0558
003720,2023-07-21,PCR,14.0325
003720,2023-07-21,PER,79.985
003720,2023-07-21,PSR,1.1163
003780,2023-07-21,PBR,1.6372
003780,2023-07-21,PCR,13.65
003780,2023-07-21,PER,13.8814
003780,2023-07-21,PSR,0.9844
003800,2023-07-21,PBR,0.4916
003800,2023-07-21,PCR,6.0071
003800,2023-07-21,PER,5.7612
003800,2023-07-21,PSR,0.9022
003830,2023-07-21,PBR,0.189
003830,2023-07-21,PCR,18.0253
003830,2023-07-21,PER,4.0476
003830,2023-07-21,PSR,0.9061
003850,2023-07-21,PBR,1.1064
003850,2023-07-21,PCR,22.8782
003850,2023-07-21,PER,13.4769
003850,2023-07-21,PSR,0.7221
003920,2023-07-21,PBR,0.4112
003920,2023-07-21,PCR,-2.816
003920,2023-07-21,PER,-3.9785
003920,2023-07-21,PSR,0.3198
003960,2023-07-21,PBR,0.4017
003960,2023-07-21,PCR,4.3636
003960,2023-07-21,PER,2.8244
003960,2023-07-21,PSR,0.1166
004000,2023-07-21,PBR,0.7644
004000,2023-07-21,PCR,3.4181
004000,2023-07-21,PER,5.7685
004000,2023-07-21,PSR,0.7454
004020,2023-07-21,PBR,0.2346
004020,2023-07-21,PCR,3.5408
004020,2023-07-21,PER,5.8564
004020,2023-07-21,PSR,0.1681
004060,2023-07-21,PBR,0.4192
004060,2023-07-21,PCR,27.6284
004060,2023-07-21,PER,48.6786
004060,2023-07-21,PSR,0.6389
004080,2023-07-21,PBR,1.279
004080,2023-07-21,PCR,14.21
004080,2023-07-21,PER,15.8818
004080,2023-07-21,PSR,1.145
004090,2023-07-21,PBR,0.7942
004090,2023-07-21,PCR,5.5026
004090,2023-07-21,PER,15.8285
004090,2023-07-21,PSR,0.176
004100,2023-07-21,PBR,0.591
004100,2023-07-21,PCR,2.5843
004100,2023-07-21,PER,28.1923
004100,2023-07-21,PSR,0.1042
004140,2023-07-21,PBR,0.7612
004140,2023-07-21,PCR,2.6849
